periodo_mes	mes	ano	decada	meta_acumulada_mes	selic_acumulada_mes	ipca_mes
1996-07	JUL	1996	1990		1.9285287332209577	1.11
1996-08	AGO	1996	1990		1.9678896186422712	0.44
1996-09	SET	1996	1990		1.9040539286274027	0.15
1996-10	OUT	1996	1990		1.943610093077086	0.3
1996-11	NOV	1996	1990		1.8952462294683947	0.32
1996-12	DEZ	1996	1990		1.8913956949330846	0.47
1997-01	JAN	1997	1990		1.8108884698309957	1.18
1997-02	FEV	1997	1990		1.672563416687245	0.5
1997-03	MAR	1997	1990		1.8162813751282147	0.51
1997-04	ABR	1997	1990		1.7394987455055855	0.88
1997-05	MAI	1997	1990		1.6646440129875595	0.41
1997-06	JUN	1997	1990		1.606782943263818	0.54
1997-07	JUL	1997	1990		1.6034560189993607	0.22
1997-08	AGO	1997	1990		1.5857798147757451	-0.02
1997-09	SET	1997	1990		1.5903764051644176	0.06
1997-10	OUT	1997	1990		1.6856316992016618	0.23
1997-11	NOV	1997	1990		3.0305178224343754	0.17
1997-12	DEZ	1997	1990		3.10987463343404	0.43
1998-01	JAN	1998	1990		2.804617211895555	0.71
1998-02	FEV	1998	1990		2.123379857065233	0.46
1998-03	MAR	1998	1990		2.206511287468671	0.34
1998-04	ABR	1998	1990		1.9896645662067725	0.24
1998-05	MAI	1998	1990		1.706473528303154	0.5
1998-06	JUN	1998	1990		1.606855681212438	0.02
1998-07	JUL	1998	1990		1.7046273710649595	-0.12
1998-08	AGO	1998	1990		1.4779142595653605	-0.51
1998-09	SET	1998	1990		2.58972699185982	-0.22
1998-10	OUT	1998	1990		3.088116734280888	0.02
1998-11	NOV	1998	1990		2.6970915509913596	-0.12
1998-12	DEZ	1998	1990		2.577901001614147	0.33
1999-01	JAN	1999	1990		2.381417576852507	0.7
1999-02	FEV	1999	1990		2.292229876695817	1.05
1999-03	MAR	1999	1990	2.7984302950692763	3.314906951666252	1.1
1999-04	ABR	1999	1990	2.76132226818806	2.756348776662243	0.56
1999-05	MAI	1999	1990	2.023106812064235	2.0176963403661707	0.3
1999-06	JUN	1999	1990	1.6789448695229359	1.671743733370601	0.19
1999-07	JUL	1999	1990	1.6680042663741457	1.6600659207150148	1.09
1999-08	AGO	1999	1990	1.5674013437060763	1.5681433233508013	0.56
1999-09	SET	1999	1990	1.5572623319715762	1.5585108931726266	0.31
1999-10	OUT	1999	1990	1.4601687054440982	1.452822989552649	1.19
1999-11	NOV	1999	1990	1.530229915269965	1.526232928901261	0.95
1999-12	DEZ	1999	1990	1.6003395044074997	1.5999668057794514	0.6
2000-01	JAN	2000	2000	1.4601687054440982	1.4566481498231587	0.62
2000-02	FEV	2000	2000	1.4601687054440982	1.4512323026732332	0.13
2000-03	MAR	2000	2000	1.455083102648369	1.4496032640959777	0.22
2000-04	ABR	2000	2000	1.356280029762802	1.3618784301355769	0.42
2000-05	MAI	2000	2000	1.561302540222509	1.5624913903756532	0.01
2000-06	JUN	2000	2000	1.400701664194881	1.3918722625784197	0.23
2000-07	JUL	2000	2000	1.3117589824336306	1.3083675472603362	1.61
2000-08	AGO	2000	2000	1.4036427794806405	1.4050587774003587	1.31
2000-09	SET	2000	2000	1.2808087081982444	1.2851542498168111	0.23
2000-10	OUT	2000	2000	1.3422071333708763	1.3485565067060223	0.14
2000-11	NOV	2000	2000	1.3422071333708763	1.3430334696097557	0.32
2000-12	DEZ	2000	2000	1.262640054423625	1.2570855059773178	0.59
2001-01	JAN	2001	2000	1.3264776449023241	1.3248353780643596	0.57
2001-02	FEV	2001	2000	1.0189671563309632	1.0154881156744011	0.46
2001-03	MAR	2001	2000	1.2589863151839298	1.2585570284095349	0.38
2001-04	ABR	2001	2000	1.2401649317317132	1.245606409073563	0.58
2001-05	MAI	2001	2000	1.3941232978792684	1.3972714542620501	0.41
2001-06	JUN	2001	2000	1.272575676564447	1.2744501765223237	0.52
2001-07	JUL	2001	2000	1.497120322192802	1.4985577261227068	1.33
2001-08	AGO	2001	2000	1.6003395044074997	1.5991192958740186	0.7
2001-09	SET	2001	2000	1.390155841545604	1.393569951047069	0.28
2001-10	OUT	2001	2000	1.6003395044074997	1.605115481236763	0.83
2001-11	NOV	2001	2000	1.530229915269965	1.533953466161031	0.71
2001-12	DEZ	2001	2000	1.4601687054440982	1.4637205484081317	0.65
2002-01	JAN	2002	2000	1.6003395044074997	1.6042349989529914	0.52
2002-02	FEV	2002	2000	1.2452052781136924	1.2482453886005107	0.36
2002-03	MAR	2002	2000	1.4364505615647838	1.4376337064789801	0.6
2002-04	ABR	2002	2000	1.492915665050698	1.4861150575606663	0.8
2002-05	MAI	2002	2000	1.492915665050698	1.4759702825937637	0.21
2002-06	JUN	2002	2000	1.356280029762802	1.3348975349140701	0.42
2002-07	JUL	2002	2000	1.5442628855734997	1.5350572088610015	1.19
2002-08	AGO	2002	2000	1.4554574381828722	1.4451822553384952	0.65
2002-09	SET	2002	2000	1.3888430348411474	1.380349071877629	0.72
2002-10	OUT	2002	2000	1.6536868276300964	1.645931426036018	1.31
2002-11	NOV	2002	2000	1.6244180017466858	1.6174355595639733	3.02
2002-12	DEZ	2002	2000	1.8394728273028127	1.8322542047548351	2.1
2003-01	JAN	2003	2000	2.0688261569645983	2.060475386658034	2.25
2003-02	FEV	2003	2000	1.8414587864336474	1.8311191546591887	1.57
2003-03	MAR	2003	2000	1.7881688424113085	1.77653795775079	1.23
2003-04	ABR	2003	2000	2.0734197053619896	2.0607315362513923	0.97
2003-05	MAI	2003	2000	2.0734197053619896	2.059609162139564	0.61
2003-06	JUN	2003	2000	1.8719561137376495	1.8565482380241916	-0.15
2003-07	JUL	2003	2000	2.1026386553975707	2.084895170509138	0.2
2003-08	AGO	2003	2000	1.7855365651850308	1.7736453312584333	0.34
2003-09	SET	2003	2000	1.691106350227689	1.6793768861898206	0.78
2003-10	OUT	2003	2000	1.6543358799724572	1.6419260687586368	0.29
2003-11	NOV	2003	2000	1.3544357379222882	1.3430853286652944	0.34
2003-12	DEZ	2003	2000	1.4483635109406645	1.4341163483042818	0.52
2004-01	JAN	2004	2000	1.3422071333708763	1.3280437872337902	0.76
